CDSCode,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
31668940102293,31,66894,0102293,2018-19,77,63,75,69,50,50,38,21,46,38,38,39
01751016002356,01,75101,6002356,2018-19,81,80,81,79,50,50,83,77,77,75,38,39
27661426026611,27,66142,6026611,2018-19,24,29,31,32,50,50,21,20,22,26,38,39
13631230118455,13,63123,0118455,2018-19,40,33,40,44,50,50,38,28,28,32,38,39
31668456031173,31,66845,6031173,2018-19,72,74,66,69,50,50,54,61,58,61,38,39
19647250115535,19,64725,0115535,2018-19,31,32,51,54,50,50,24,23,43,46,38,39
38684783830064,38,68478,3830064,2018-19,0.0,0,55,56,50,50,0,0,50,49,38,39
36677026107569,36,67702,6107569,2018-19,78,77,71,70,50,50,71,74,61,61,38,39
19753090136648,19,75309,0136648,2018-19,39,40,42,41,50,50,3,4,25,20,38,39
43694196046841,43,69419,6046841,2018-19,85,84,85,85,50,50,88,90,86,86,38,39
33751926106017,33,75192,6106017,2018-19,69,62,68,69,50,50,51,52,54,55,38,39
36678760109496,36,67876,0109496,2018-19,36,38,39,40,50,50,25,24,25,27,38,39
09737830930099,09,73783,0930099,2018-19,--,--,38,44,50,50,--,--,30,28,38,39
34322760330027,34,32276,0330027,2018-19,0,--,3,8,50,50,0,--,0,0,38,39
56726526060370,56,72652,6060370,2018-19,56,53,54,55,50,50,46,44,42,44,38,39
01612590118653,01,61259,0118653,2018-19,8,12,36,36,50,50,0,0,29,29,38,39
20102070117184,20,10207,0117184,2018-19,10,12,8,12,50,50,0,0,0,0,38,39
19734451935246,19,73445,1935246,2018-19,57,59,53,55,50,50,26,23,40,42,38,39
19651361934421,19,65136,1934421,2018-19,31,22,69,71,50,50,3,5,50,51,38,39
19649076021976,19,64907,6021976,2018-19,36,37,40,41,50,50,34,37,26,27,38,39
01611436097729,01,61143,6097729,2018-19,65,72,64,65,50,50,64,70,57,60,38,39
43693776046379,43,69377,6046379,2018-19,67,76,63,65,50,50,61,65,57,58,38,39
40104054030250,40,10405,4030250,2018-19,11,0,7,12,50,50,0,0,1,0,38,39
19647336018915,19,64733,6018915,2018-19,27,40,43,45,50,50,38,42,32,34,38,39
36678506111728,36,67850,6111728,2018-19,43,36,33,36,50,50,32,23,20,22,38,39
01612006001283,01,61200,6001283,2018-19,56,61,62,63,50,50,56,54,51,50,38,39
19648570112714,19,64857,0112714,2018-19,22,32,30,32,50,50,5,6,19,20,38,39
