CDS,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
19648406020846,19,64840,6020846,2017-18,53,53,44,46,48,50,43,46,30,32,37,38
17640301730142,17,64030,1730142,2017-18,26,50,38,38,48,50,0,13,27,29,37,38
10622406108328,10,62240,6108328,2017-18,48,52,48,50,48,50,40,38,38,37,37,38
50757396053169,50,75739,6053169,2017-18,28,26,43,44,48,50,23,19,28,29,37,38
37683386039101,37,68338,6039101,2017-18,40,34,53,55,48,50,36,34,43,45,37,38
19647176015051,19,64717,6015051,2017-18,46,50,54,57,48,50,39,49,39,43,37,38
54718035430301,54,71803,5430301,2017-18,14,23,36,41,48,50,3,10,17,15,37,38
07617546111504,07,61754,6111504,2017-18,70,70,50,51,48,50,52,55,38,39,37,38
50710435030168,50,71043,5030168,2017-18,20,24,38,42,48,50,0,2,21,25,37,38
37735516118137,37,73551,6118137,2017-18,82,80,75,74,48,50,70,75,64,66,37,38
37683386119598,37,68338,6119598,2017-18,23,36,53,55,48,50,16,24,43,45,37,38
34673303434792,34,67330,3434792,2017-18,28,14,61,64,48,50,6,0,51,53,37,38
37683380109041,37,68338,0109041,2017-18,28,36,53,55,48,50,22,33,43,45,37,38
36678763630308,36,67876,3630308,2017-18,5,4,35,39,48,50,1,0,22,25,37,38
19647336016133,19,64733,6016133,2017-18,24,30,40,43,48,50,15,30,30,32,37,38
54722316054464,54,72231,6054464,2017-18,33,26,32,33,48,50,22,20,22,22,37,38
37735510107557,37,73551,0107557,2017-18,61,67,75,74,48,50,51,52,64,66,37,38
